Symbol,Date,open,high,low,close,adjusted close,volume,dividend amount,Close_diff
META,2024-11-15,586.36,599.66,551.5,554.08,552.3663,66020965,0.0,-35.25999999999999
META,2024-11-22,557.04,570.0,549.05,559.14,557.4106,53985252,0.0,5.059999999999945
META,2024-11-29,562.1,578.46,556.39,574.32,572.5437,38287127,0.0,15.180000000000064
META,2024-12-06,577.5,629.7899,575.57,623.77,621.8407,67143256,0.0,49.44999999999993
META,2024-12-13,623.925,638.4,606.1701,620.35,618.4313,49130163,0.0,-3.419999999999959
META,2024-12-20,629.975,632.37,580.0,585.25,583.9072,104806419,0.5,-35.10000000000002
META,2024-12-27,589.6,607.99,586.25,599.81,598.4338,29107274,0.0,14.559999999999945
META,2025-01-03,588.75,609.5,583.85,604.63,603.2427,37164437,0.0,4.82000000000005
META,2025-01-10,611.825,632.1011,597.34,615.86,614.447,55974643,0.0,11.230000000000018
META,2025-01-17,607.1,624.97,588.55,612.77,611.3641,65543274,0.0,-3.090000000000032
META,2025-01-24,617.825,652.0,609.0082,647.49,646.0044,52923519,0.0,34.72000000000003
META,2025-01-31,626.61,710.79,625.1,689.18,687.5987,119381675,0.0,41.68999999999994
META,2025-02-07,675.91,725.01,675.25,714.52,712.8806,82543532,0.0,25.340000000000032
META,2025-02-14,718.56,740.91,710.04,736.67,734.9798,67389106,0.0,22.149999999999977
META,2025-02-21,736.0,737.0,682.36,683.55,681.9817,67721946,0.0,-53.120000000000005
META,2025-02-28,686.28,688.6469,641.86,668.2,666.6669,80779542,0.0,-15.349999999999909
META,2025-03-07,673.675,681.25,600.61,625.66,624.2245,80931122,0.0,-42.54000000000008
META,2025-03-14,608.07,633.33,586.51,607.6,606.7297,83389252,0.525,-18.059999999999945
META,2025-03-21,607.46,613.1,574.66,596.25,595.396,105661484,0.0,-11.350000000000023
META,2025-03-28,614.97,633.88,573.92,576.74,575.9139,71755052,0.0,-19.50999999999999
META,2025-04-04,563.5,592.66,494.2,504.73,504.0071,120799303,0.0,-72.00999999999999
META,2025-04-11,485.1,587.89,481.9,543.57,542.7914,149672743,0.0,38.84000000000003
META,2025-04-17,556.175,557.77,495.63,501.48,500.7617,63018170,0.0,-42.09000000000003
META,2025-04-25,491.325,549.86,479.8,547.27,546.4861,82748232,0.0,45.789999999999964
META,2025-05-02,555.64,604.34,529.5,597.02,596.1649,112156295,0.0,49.75
META,2025-05-09,591.22,611.2959,586.58,592.49,591.6414,62699441,0.0,-4.529999999999973
META,2025-05-16,630.92,662.67,621.03,640.34,639.4228,85744892,0.0,47.85000000000002
META,2025-05-23,628.25,646.61,622.65,627.06,626.1618,44482926,0.0,-13.280000000000086
META,2025-05-30,635.41,653.32,632.75,647.49,646.5626,43675628,0.0,20.430000000000064
META,2025-06-06,644.39,702.806,644.2616,697.71,696.7107,66231516,0.0,50.22000000000003
META,2025-06-13,698.46,708.8707,681.01,682.87,681.8919,49803046,0.0,-14.840000000000032
META,2025-06-20,699.33,707.15,678.67,682.35,681.8821,56393293,0.525,-0.5199999999999818
META,2025-06-27,683.69,735.43,678.75,733.63,733.127,66964199,0.0,51.27999999999997
META,2025-07-03,744.55,747.9,712.8,719.01,718.517,46771746,0.0,-14.620000000000005
META,2025-07-11,717.6,737.53,709.7,717.51,717.018,49441865,0.0,-1.5
META,2025-07-18,717.6,728.0,691.65,704.28,703.7971,58119553,0.0,-13.230000000000018
META,2025-07-25,706.8,723.6239,701.41,712.68,712.1913,46289604,0.0,8.399999999999977
META,2025-08-01,715.2,784.75,691.2001,750.01,749.4957,106919869,0.0,37.33000000000004
META,2025-08-08,760.0,783.1299,758.41,769.3,768.7725,53516377,0.0,19.289999999999964
META,2025-08-15,770.075,796.25,764.67,785.23,784.6916,52495033,0.0,15.930000000000064
META,2025-08-22,775.085,775.81,731.0,754.79,754.2725,60187591,0.0,-30.440000000000055
META,2025-08-29,754.82,758.88,735.3466,738.7,738.1935,39316894,0.0,-16.089999999999918
META,2025-09-05,726.04,761.16,721.7306,752.45,751.9341,38103871,0.0,13.75
META,2025-09-12,755.995,766.51,743.76,755.59,755.0719,52736959,0.0,3.1399999999999864
META,2025-09-19,757.47,790.8,751.985,778.38,777.8463,66368903,0.0,22.789999999999964
META,2025-09-26,781.845,785.73,737.3532,743.75,743.75,51695168,0.525,-34.629999999999995
META,2025-10-03,748.72,750.78,710.18,710.56,710.56,73462727,0.0,-33.190000000000055
META,2025-10-10,705.185,735.27,690.51,705.3,705.3,74205500,0.0,-5.259999999999991
META,2025-10-17,713.01,725.49,699.33,716.915,716.915,49577770,0.0,11.615000000000009
META,2025-10-24,721.19,742.41,720.18,738.36,738.36,44289205,0.0,21.44500000000005
META,2025-10-31,749.73,759.155,645.57,648.35,648.35,195726753,0.0,-90.00999999999999
META,2025-11-07,656.0,659.3299,601.2,621.71,621.71,134018637,0.0,-26.639999999999986
META,2025-11-14,631.09,635.0,595.2,609.46,609.46,98738450,0.0,-12.25
META,2025-11-21,609.035,611.69,581.25,594.25,594.25,108402329,0.0,-15.210000000000036
META,2025-11-28,598.72,648.05,597.6301,647.95,647.95,75010589,0.0,53.700000000000045
MSFT,2020-12-04,214.1,217.32,210.835,214.36,205.6727,137074249,0.0,
MSFT,2020-12-11,214.37,216.95,209.11,213.26,204.6172,137791151,0.0,-1.1000000000000227
MSFT,2020-12-18,213.1,220.89,212.24,218.59,209.7312,186710444,0.0,5.3300000000000125
MSFT,2020-12-24,217.55,225.63,217.2801,222.75,213.7226,89075493,0.0,4.159999999999997
MSFT,2020-12-31,224.45,227.18,219.68,222.42,213.406,76380383,0.0,-0.3300000000000125
MSFT,2021-01-08,222.53,223.0,211.94,219.62,210.7195,147534431,0.0,-2.799999999999983
MSFT,2021-01-15,218.47,218.91,212.03,212.65,204.032,127375699,0.0,-6.969999999999999
MSFT,2021-01-22,213.75,230.07,212.63,225.95,216.793,129180335,0.0,13.299999999999983
MSFT,2021-01-29,229.12,242.64,224.22,231.96,222.5594,243806631,0.0,6.010000000000019
MSFT,2021-02-05,235.06,245.09,232.43,242.2,232.3844,129501505,0.0,10.23999999999998
MSFT,2021-02-12,243.15,245.92,240.81,244.99,235.0613,100112782,0.0,2.7900000000000205
MSFT,2021-02-19,245.03,246.13,240.18,240.97,231.7344,90368267,0.56,-4.02000000000001
MSFT,2021-02-26,237.42,237.93,227.88,232.38,223.4737,169414358,0.0,-8.590000000000003
MSFT,2021-03-05,235.9,237.47,224.26,231.6,222.7236,168775377,0.0,-0.7800000000000011
MSFT,2021-03-12,231.37,239.17,227.13,235.75,226.7145,150656031,0.0,4.150000000000006
MSFT,2021-03-19,234.96,240.055,229.3496,230.35,221.5215,164979946,0.0,-5.400000000000006
MSFT,2021-03-26,230.27,241.05,230.14,236.48,227.4165,146927214,0.0,6.1299999999999955
MSFT,2021-04-01,236.59,242.84,231.1,242.35,233.0615,123980920,0.0,5.8700000000000045
MSFT,2021-04-09,242.76,255.99,242.7,255.85,246.0441,130514397,0.0,13.5
